"SampleDate","Weekday","RouteId","RouteName","ScheduledTime","AvoidTolls","DistanceKm","BestEstimateMin","HistoricModelMin","NoTrafficMin","LiveIncidentsMin"
"2026-08-31","Monday","home_to_plearn_0615","Home -> Plearnpattana","06:15","False","10.75","11.65","11.65","11.22","11.65"
"2026-08-31","Monday","home_to_ans_0615","Home -> Amnuay Silpa","06:15","False","22.74","25.78","25.78","20","25.78"
"2026-08-31","Monday","home_to_ans_0615_no_toll","Home -> Amnuay Silpa (no toll)","06:15","True","14.42","26.38","26.38","20.33","26.38"
"2026-08-31","Monday","ans_to_home_1430","Amnuay Silpa -> Home","14:30","False","16.59","24.7","24.7","20.83","24.7"
"2026-08-31","Monday","plearn_to_home_1530","Plearnpattana -> Home","15:30","False","6.11","8.28","8.28","7.08","8.28"
"2026-09-07","Monday","home_to_plearn_0615","Home -> Plearnpattana","06:15","False","10.75","11.65","11.65","11.22","11.65"
"2026-09-07","Monday","home_to_ans_0615","Home -> Amnuay Silpa","06:15","False","22.74","25.78","25.78","20","25.78"
"2026-09-07","Monday","home_to_ans_0615_no_toll","Home -> Amnuay Silpa (no toll)","06:15","True","14.42","26.38","26.38","20.33","26.38"
"2026-09-07","Monday","ans_to_home_1430","Amnuay Silpa -> Home","14:30","False","16.59","24.7","24.7","20.83","24.7"
"2026-09-07","Monday","plearn_to_home_1530","Plearnpattana -> Home","15:30","False","6.11","8.28","8.28","7.08","8.28"
"2026-09-14","Monday","home_to_plearn_0615","Home -> Plearnpattana","06:15","False","10.75","11.65","11.65","11.22","11.65"
"2026-09-14","Monday","home_to_ans_0615","Home -> Amnuay Silpa","06:15","False","22.74","25.78","25.78","20","25.78"
"2026-09-14","Monday","home_to_ans_0615_no_toll","Home -> Amnuay Silpa (no toll)","06:15","True","14.42","26.38","26.38","20.33","26.38"
"2026-09-14","Monday","ans_to_home_1430","Amnuay Silpa -> Home","14:30","False","16.59","24.7","24.7","20.83","24.7"
"2026-09-14","Monday","plearn_to_home_1530","Plearnpattana -> Home","15:30","False","6.11","8.28","8.28","7.08","8.28"
"2026-09-21","Monday","home_to_plearn_0615","Home -> Plearnpattana","06:15","False","10.75","11.65","11.65","11.22","11.65"
"2026-09-21","Monday","home_to_ans_0615","Home -> Amnuay Silpa","06:15","False","22.74","25.78","25.78","20","25.78"
