"RouteId","RouteName","Weekday","ScheduledTime","AvoidTolls","Samples","HistoricModelAvgMin","HistoricModelMinMin","HistoricModelMaxMin"
"home_to_plearn_0615","Home -> Plearnpattana","Monday","06:15","False","4","11.65","11.65","11.65"
"home_to_ans_0615","Home -> Amnuay Silpa","Monday","06:15","False","4","25.78","25.78","25.78"
"home_to_ans_0615_no_toll","Home -> Amnuay Silpa (no toll)","Monday","06:15","True","4","26.38","26.38","26.38"
"ans_to_home_1430","Amnuay Silpa -> Home","Monday","14:30","False","4","24.7","24.7","24.7"
"plearn_to_home_1530","Plearnpattana -> Home","Monday","15:30","False","4","8.28","8.28","8.28"
"home_to_plearn_0615","Home -> Plearnpattana","Tuesday","06:15","False","4","11.57","11.57","11.57"
"home_to_ans_0615","Home -> Amnuay Silpa","Tuesday","06:15","False","4","25.65","25.65","25.65"
"home_to_ans_0615_no_toll","Home -> Amnuay Silpa (no toll)","Tuesday","06:15","True","4","25.65","25.65","25.65"
"ans_to_home_1430","Amnuay Silpa -> Home","Tuesday","14:30","False","4","24.98","24.98","24.98"
"plearn_to_home_1530","Plearnpattana -> Home","Tuesday","15:30","False","4","8.32","8.32","8.32"
"home_to_plearn_0615","Home -> Plearnpattana","Wednesday","06:15","False","4","11.62","11.62","11.62"
"home_to_ans_0615","Home -> Amnuay Silpa","Wednesday","06:15","False","4","25.55","25.55","25.55"
"home_to_ans_0615_no_toll","Home -> Amnuay Silpa (no toll)","Wednesday","06:15","True","4","25.55","25.55","25.55"
"ans_to_home_1430","Amnuay Silpa -> Home","Wednesday","14:30","False","4","25.35","25.35","25.35"
"plearn_to_home_1530","Plearnpattana -> Home","Wednesday","15:30","False","4","8.35","8.35","8.35"
"home_to_plearn_0615","Home -> Plearnpattana","Thursday","06:15","False","4","11.57","11.57","11.57"
"home_to_ans_0615","Home -> Amnuay Silpa","Thursday","06:15","False","4","25.22","25.22","25.22"
"home_to_ans_0615_no_toll","Home -> Amnuay Silpa (no toll)","Thursday","06:15","True","4","25.22","25.22","25.22"
"ans_to_home_1430","Amnuay Silpa -> Home","Thursday","14:30","False","4","25","25","25"
"plearn_to_home_1530","Plearnpattana -> Home","Thursday","15:30","False","4","8.35","8.35","8.35"
"home_to_plearn_0615","Home -> Plearnpattana","Friday","06:15","False","4","11.57","11.57","11.57"
"home_to_ans_0615","Home -> Amnuay Silpa","Friday","06:15","False","4","25.97","25.97","25.97"
"home_to_ans_0615_no_toll","Home -> Amnuay Silpa (no toll)","Friday","06:15","True","4","25.97","25.97","25.97"
"ans_to_home_1430","Amnuay Silpa -> Home","Friday","14:30","False","4","25.42","25.42","25.42"
"plearn_to_home_1530","Plearnpattana -> Home","Friday","15:30","False","4","8.5","8.5","8.5"
